property_type,society,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,price,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,bestech park view sanskruti,sector 92,12273.0,3,3,2,10.0,Relatively New,1.42,1738.0,0,0,0,0,0,0,117,"28.4079° N, 76.9153° E",28.4079,76.9153
flat,dlf regal gardens,sector 90,5716.0,4,4,3+,7.0,Moderately Old,1.8,2005.0,0,0,0,0,0,0,38,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,m3m heights,sector 65,4666.0,3,3,3,19.0,Relatively New,2.5,1654.0,0,0,0,0,0,0,48,"28.4030° N, 77.0690° E",28.403,77.069
flat,vatika independent floors,sector 82,6552.0,4,3,0,1.0,Relatively New,1.45,1800.0,0,0,0,0,0,0,50,"28.3935° N, 76.9600° E",28.3935,76.96
flat,la vida by tata housing,sector 113,9823.0,5,4,3+,0.0,New Property,3.72,2956.0,0,0,0,1,0,2,44,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,vatika sovereign next,sector 82a,7490.0,5,6,3+,6.0,New Property,3.85,5711.0,0,1,0,1,0,1,148,"28.3858° N, 76.9686° E",28.3858,76.9686
flat,m3m woodshire,sector 107,11990.0,2,2,3+,1.0,Moderately Old,0.94,1236.0,0,0,0,0,0,1,113,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,sobha city,sector 108,16990.0,2,2,2,3.0,Relatively New,2.1,1250.0,0,0,0,0,0,0,74,"28.5134° N, 76.9830° E",28.5134,76.983
flat,ireo victory valley,sector 67,7141.0,3,4,2,35.0,Relatively New,3.05,2200.0,1,1,0,0,0,1,165,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,emaar gurgaon greens,sector 102,8393.0,3,3,3,4.0,Relatively New,1.4,1493.0,0,1,0,0,0,1,83,"28.4750° N, 76.9715° E",28.475,76.9715
house,ansal celebrity homes,sector 2,10000.0,4,5,2,1.0,Moderately Old,5.2,5200.0,0,0,0,0,0,0,0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,orris aster court premier,sector 85,6921.0,3,4,2,5.0,Relatively New,1.25,1900.0,0,1,0,0,0,1,174,"28.4042° N, 76.9513° E",28.4042,76.9513
